areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
All Downtown,Manhattan,submarket,3200,3200,3025,3100,3100,3200,3195,3200,3400,3495,3450,3400,3365,3395,3300,3300,3395,3400,3395,3495,3625,3660,3550,3495,3450,3450,3500,3500,3580,3550,3500,3550,3650,3600,3675,3675,3550,3500,3500,3500,3500,3500,3500,3585,3650,3650,3695,3600,3630,3600,3600,3650,3650,3595,3595,3595,3650,3600,3600,3600,3600,3637,3647,3700,3750,3700,3700,3773,3795,3800,3750,3775,3700,3707,3750,3795,3800,3850,3895,3795,3798,3760,3703,3650,3650,3700,3695,3715,3790,3725,3725,3700,3665,3662,3675,3642,3650,3750,3740,3759,3842,3800,3799,3800,3830,3800,3867,3800,3800,3860,3800,3950,4000,4095,4000,3995,4014,4095,4099,4081,4050
All Midtown,Manhattan,submarket,2875,2800,2800,2850,2895,2950,3000,3000,3100,3100,3150,3150,3160,3198,3195,3200,3250,3300,3335,3300,3350,3375,3395,3350,3300,3250,3250,3320,3395,3395,3395,3400,3400,3400,3440,3450,3400,3400,3400,3390,3350,3395,3350,3395,3400,3400,3395,3400,3350,3390,3395,3400,3450,3450,3400,3400,3400,3450,3495,3500,3500,3500,3500,3500,3550,3525,3513,3501,3561,3500,3500,3500,3495,3500,3500,3550,3575,3500,3527,3500,3548,3500,3500,3500,3470,3495,3468,3500,3500,3530,3500,3500,3500,3500,3350,3350,3387,3400,3391,3450,3500,3500,3500,3500,3510,3550,3508,3550,3500,3550,3550,3593,3643,3695,3718,3725,3711,3695,3740,3750,3754
All Upper East Side,Manhattan,submarket,2460,2450,2400,2500,2550,2550,2595,2500,2595,2550,2500,2550,2500,2500,2475,2500,2600,2695,2650,2695,2795,2800,2800,2800,2700,2700,2695,2695,2695,2750,2700,2750,2850,2795,2850,2850,2795,2800,2795,2750,2750,2750,2750,2800,2893,2850,2800,2800,2700,2790,2700,2700,2700,2700,2725,2700,2750,2750,2800,2849,2852,2900,2900,2875,2950,2995,2950,2995,3046,2999,2900,2950,2995,2975,3000,3000,3000,2995,2990,2920,2950,2950,2975,3000,2995,2995,2925,2950,2950,2950,2950,2900,2995,2948,2995,2990,2900,2895,2850,2850,2850,2900,2925,2900,2895,2995,2995,3000,3000,3000,2995,2995,3000,3050,3067,2995,3000,3125,3250,3348,3300
All Upper Manhattan,Manhattan,submarket,1836,1800,1795,1800,1823,1850,1875,1850,1898,1875,1850,1850,1850,1800,1875,1895,1920,1950,1950,1976,1995,1985,1995,2000,2000,2000,2000,2000,1995,1963,2000,2050,2000,1995,2000,2000,1980,1995,2000,2000,2025,2100,2150,2150,2100,2000,2000,2000,2000,1995,2000,2090,2100,2100,2100,2150,2100,2150,2183,2190,2158,2200,2200,2200,2250,2290,2295,2300,2263,2275,2250,2250,2285,2275,2300,2372,2395,2350,2395,2400,2400,2395,2382,2379,2350,2300,2295,2325,2350,2350,2395,2395,2353,2338,2250,2295,2262,2291,2300,2350,2375,2397,2425,2400,2350,2345,2300,2300,2299,2325,2365,2400,2450,2500,2500,2495,2441,2391,2350,2350,2395
All Upper West Side,Manhattan,submarket,2895,2800,2750,2800,2800,2795,2800,2895,2995,3050,3000,2995,2995,3000,2950,3000,3000,3100,3100,3200,3250,3344,3388,3475,3300,3200,3045,3150,3200,3200,3250,3300,3325,3350,3350,3300,3200,3250,3200,3200,3250,3163,3200,3250,3295,3300,3200,3230,3200,3195,3200,3295,3299,3285,3200,3200,3295,3300,3285,3250,3295,3300,3250,3300,3350,3395,3425,3500,3555,3504,3535,3500,3450,3450,3450,3475,3495,3450,3495,3425,3495,3450,3400,3375,3300,3315,3299,3300,3350,3385,3390,3395,3395,3400,3325,3350,3350,3295,3250,3295,3323,3350,3350,3335,3400,3400,3395,3400,3400,3360,3400,3479,3495,3478,3425,3539,3650,3650,3695,3629,3700
Astoria,Queens,neighborhood,1600,1650,1620,1600,1700,1700,1600,1600,1600,1700,1650,1650,1600,1600,1750,1825,1900,1900,1820,1900,1900,1900,1973,2000,2000,2038,2038,2113,2100,1990,2175,2250,2250,2150,2046,2000,2000,2000,1950,2000,2200,2100,2200,2150,2150,2100,2000,2038,2100,2100,2100,2100,2100,2100,2100,2150,2200,2200,2200,2150,2200,2200,2200,2300,2300,2295,2300,2300,2200,2200,2200,2200,2200,2200,2300,2300,2300,2300,2300,2350,2350,2300,2291,2275,2250,2200,2200,2200,2200,2250,2300,2300,2250,2195,2200,2195,2150,2117,2100,2100,2200,2200,2225,2250,2250,2200,2150,2150,2195,2200,2200,2200,2250,2300,2350,2350,2350,2350,2300,2295,2350
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,,2300,2100,1995,1995,1950,1900,1995,1995,1695,,1798,1625,1795,1850,2100,2225,2100,2048,2048,2148,2100,,1995,2195,2195,2295,2095,2195,2048,1895,1995,1495,1795,2325,2300,2300,2095,2095,1850,2098,2095,2000,1948,1995,1995,1948,2045,2045,1995,1998,2000,1900,1650,2045,2100,2000,2098,1895,1895
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,1075,1075,1188,1200,1075,1138,,,,,,,,,,,,,,,,,,,,,,1475,1638,1650,,,,2200,1725,1800,1775,1575,1450,,1700,1750,1775,1775,2000,1850,1613,1700,1700,1800,2000,2000,1898,1745,1950,2025,2175,2250,2050,2098,2000,2200,2200,1900,1900,2100,1950,1850,1950,1950,2000,1975,1950,1850,1898,2000,1848,1875,1950,2000,2023,2000,1850,1700,1675,1675,1750,1725,1675,1700,1575,1695,1675,1695,1750,1799,1795,1795,1850,1795,1795,1795
Battery Park City,Manhattan,neighborhood,3495,3346,3268,3295,3100,3395,3200,3225,3360,3415,3348,3350,3300,3150,3195,3368,3700,3693,3625,3650,3840,3850,3700,3615,3400,3500,3500,3600,3798,3905,4450,4375,4185,4050,4100,3995,3800,3500,3500,3568,3875,3995,3850,3850,3863,3995,3850,3895,3900,4013,4100,3550,3695,4650,4300,4198,4500,4063,3898,3595,3800,3950,4025,4150,4518,4630,4700,4795,4750,4750,5100,4750,4611,4600,4595,4825,4600,4675,4650,4765,4750,4250,4050,4025,4175,3995,3910,3995,4350,4393,4515,4400,4546,4695,3880,3950,4200,4100,4050,4290,4650,4525,4750,4858,4998,4890,4500,4350,4415,4500,4315,4495,4950,5230,5295,4825,4767,4975,5425,5118,4585
Bay Ridge,Brooklyn,neighborhood,1350,1388,1350,1350,1350,1350,1300,1300,1300,1400,1475,1450,1425,1425,1450,1500,1560,1510,1650,1750,1750,1550,1750,1600,1650,1495,1495,1700,1875,1450,1450,1498,1800,1800,1800,1925,1550,1498,1925,1795,1625,1600,1750,1650,1750,1650,1650,1650,1600,1600,1575,1600,1875,1900,1900,1800,1850,1800,1800,1735,1700,1700,1749,1800,1800,1800,1800,1850,1898,1850,1850,1875,1900,2000,2000,2000,2000,2100,2000,2098,2000,2100,2100,2100,2000,2000,1950,1975,2000,2000,2000,1897,1895,1900,1850,1850,2000,1995,1900,1975,1950,1950,1850,1995,2000,2000,1980,1900,1900,1999,2000,1980,1950,1900,1900,1950,1895,1900,2000,1958,1897
